                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 2.0384,                 3.1103,                 1.8778,                 0.2405,                0.22222,                0.19277,                 0.0674,                 1.7118,                 2.4982,                  1.691,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.9774,                 3.0632,                 1.8469,                0.26526,                0.15556,                0.18921,                0.05726,                 1.6516,                 2.5829,                 1.5957,               0.000482,               0.000482,               0.000482
                    118,                 1.7986,                 2.9808,                 1.6826,                0.48323,                0.17778,                0.21246,                0.05881,                 1.5924,                 2.6174,                 1.5614,              0.0004688,              0.0004688,              0.0004688
                    119,                 1.8799,                  2.864,                 1.8059,                0.26947,                0.35556,                0.22812,                 0.0721,                 1.6431,                 2.4359,                 1.6298,              0.0004556,              0.0004556,              0.0004556
                    120,                 2.0168,                 3.1831,                 1.8232,                0.26151,                0.22222,                0.16126,                0.04549,                 1.6434,                 2.5958,                 1.5916,              0.0004424,              0.0004424,              0.0004424
                    121,                 1.9142,                  2.935,                 1.7485,                0.24269,                0.17778,                0.19871,                0.05365,                 1.6892,                 2.7608,                 1.6351,              0.0004292,              0.0004292,              0.0004292
                    122,                  2.011,                 2.9599,                 1.9413,                0.20655,                0.22567,                0.16676,                0.04916,                 1.6256,                 2.5231,                 1.6076,               0.000416,               0.000416,               0.000416
                    123,                  1.952,                 2.8792,                 1.7868,                0.26207,                0.22222,                0.20954,                 0.0672,                 1.6232,                 2.6051,                 1.5824,              0.0004028,              0.0004028,              0.0004028
                    124,                 1.9432,                 2.9049,                 1.7937,                 0.3126,                0.31111,                0.23181,                0.07505,                 1.6372,                 2.6558,                 1.5926,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.8941,                 2.8687,                 1.8402,                0.18584,                0.24444,                0.13573,                0.04671,                 1.5485,                 2.5431,                 1.5609,              0.0003764,              0.0003764,              0.0003764
                    126,                 1.7855,                 2.8032,                 1.6475,                0.29764,                0.28889,                0.20161,                0.07733,                 1.5553,                 2.4195,                 1.5567,              0.0003632,              0.0003632,              0.0003632
                    127,                 1.9537,                 2.9722,                 1.8525,                0.28142,                0.24444,                0.17124,                 0.0682,                 1.5871,                 2.5467,                 1.5752,                0.00035,                0.00035,                0.00035
                    128,                 1.7696,                  2.915,                 1.6873,                0.18617,                0.33333,                0.21125,                 0.0727,                 1.6357,                 2.5146,                   1.62,              0.0003368,              0.0003368,              0.0003368
